employees,firm_age_years,training,access_finance,exporter,digital_payments,competition_level,sector,sales_annual_usd,labor_productivity_usd_per_employee,successful
13.0,10.0,1.0,1.0,0,1,Media,Manufactura,42879.32713007694,5374.714149621036,1
9.0,6.0,0.0,0.0,0,1,Baja,Servicios,54570.89717350395,4728.282630739935,0
15.0,10.0,0.0,0.0,1,1,Baja,Servicios,56311.260029561956,3104.627627846332,0
25.0,12.0,1.0,0.0,1,1,Baja,Servicios,93419.35967549331,3129.017054716013,1
9.0,9.0,0.0,0.0,0,0,Baja,Manufactura,24608.8893612164,2824.64505632583,1
9.0,9.0,0.0,1.0,0,1,Baja,Manufactura,34776.30859942361,2962.2606857503047,1
26.0,5.0,1.0,0.0,0,1,Baja,Manufactura,21037.9131150806,899.0123591471289,0
16.0,5.0,1.0,0.0,0,0,Media,Servicios,20143.243842369033,1555.8004983596302,0
8.0,,1.0,1.0,0,0,Media,Comercio,17823.48899657908,2546.353805233893,1
14.0,19.0,0.0,0.0,0,0,Alta,Comercio,10995.214241869171,504.7454294952379,1
8.0,2.0,0.0,1.0,0,1,Baja,Servicios,16804.096768973468,2693.8545510923077,0
8.0,5.0,1.0,0.0,1,0,Media,Comercio,10669.886988399352,1685.9442382150955,1
12.0,5.0,0.0,1.0,1,1,Media,Servicios,34451.534012313976,3533.140793029094,0
3.0,14.0,1.0,1.0,0,1,Baja,Servicios,32566.19246852257,11915.892137758216,1
4.0,7.0,1.0,1.0,0,1,Alta,Manufactura,29689.89209484419,7842.515376991706,0
7.0,16.0,1.0,1.0,0,0,Baja,Manufactura,39611.208877450146,7325.045241117209,1
5.0,5.0,0.0,0.0,0,1,Alta,Comercio,8335.501727681316,2696.5257067884445,0
12.0,11.0,0.0,0.0,0,1,Alta,Comercio,10122.331899220158,664.697849330145,1
6.0,4.0,1.0,0.0,0,1,Media,Servicios,9772.685088239163,2132.6453082644903,0
4.0,22.0,1.0,0.0,0,0,Media,Manufactura,,3008.5042706214945,0
24.0,2.0,1.0,0.0,0,0,Media,Manufactura,23748.646286259398,957.9625793722932,0
9.0,11.0,0.0,0.0,0,1,Media,Manufactura,20921.02319441472,1583.119547983358,0
10.0,13.0,0.0,0.0,0,0,Media,Comercio,12681.314929694834,1180.9830670903184,0
4.0,11.0,1.0,0.0,0,1,Baja,Servicios,22288.640089416203,4342.570852353752,1
7.0,8.0,1.0,,0,0,Baja,Servicios,19080.022456063096,2427.272227066059,0
11.0,8.0,1.0,1.0,0,1,Media,Comercio,33004.185194825994,2280.0389103591283,1
5.0,9.0,0.0,0.0,0,0,Media,Servicios,18893.163225589014,3377.497711452873,0
12.0,8.0,1.0,0.0,0,1,Alta,Manufactura,17355.088707494764,1306.6302849651647,0
7.0,15.0,1.0,0.0,0,0,Baja,Servicios,27180.07508814536,3977.9346478313905,0
8.0,22.0,1.0,0.0,1,1,Alta,Servicios,31558.015336329667,2634.513674845828,1
7.0,6.0,0.0,1.0,0,1,Baja,Servicios,22583.45075592146,2247.74543421298,1
30.0,1.0,0.0,0.0,0,1,Media,Tecnologia,49837.9825828513,1818.5847374609675,0
10.0,8.0,1.0,0.0,0,1,Media,Servicios,33877.19503398972,2775.407138159176,0
5.0,24.0,0.0,1.0,1,1,Media,Comercio,21942.83473568054,5741.01018704168,1
16.0,4.0,0.0,0.0,0,0,Baja,Comercio,21301.039107145927,1408.442613003119,0
5.0,19.0,1.0,0.0,0,1,Media,,24001.98458564376,5586.7020679737,0
11.0,19.0,0.0,0.0,0,0,,Comercio,17037.06077159774,2203.7684436361633,1
3.0,6.0,1.0,1.0,0,0,Media,Comercio,18128.11568690002,5592.48702503828,1
4.0,12.0,0.0,0.0,0,0,Media,Comercio,12703.185377297274,2750.9236875174265,0
11.0,19.0,1.0,0.0,0,0,Alta,Manufactura,49518.17691264415,5597.78053490209,1
16.0,7.0,1.0,,0,0,Media,Servicios,15501.1522934259,1100.4333220995409,0
11.0,8.0,0.0,0.0,1,1,Media,Servicios,25536.039854635204,2215.2448335793865,0
9.0,6.0,0.0,0.0,0,0,Baja,Tecnologia,15466.7203758615,2433.5000176348854,0
8.0,3.0,0.0,0.0,0,1,Alta,Servicios,18286.367702502073,2167.6708038742895,0
4.0,5.0,0.0,0.0,0,0,Media,Comercio,5762.811200793528,1452.5555589926346,0
6.0,2.0,1.0,1.0,0,0,Baja,Manufactura,27930.09416950284,4679.779273604112,1
8.0,9.0,1.0,1.0,0,1,Baja,Servicios,27999.909767503905,2770.7312434790806,1
19.0,4.0,0.0,0.0,0,1,Alta,Comercio,17200.540682083672,923.0223654974856,1
12.0,10.0,0.0,1.0,0,1,Baja,Servicios,21470.77045386209,2536.9837894512534,1
3.0,0.0,0.0,0.0,0,0,Alta,Servicios,6500.831153287238,2421.9180978423815,0
12.0,11.0,1.0,0.0,0,0,Baja,Servicios,41701.70658318326,3502.234733519521,1
8.0,14.0,0.0,1.0,0,1,Alta,Manufactura,25633.55407506678,3077.196137327343,0
7.0,0.0,1.0,1.0,0,0,Media,Servicios,25422.27390637493,3944.934391038634,0
14.0,11.0,1.0,1.0,0,0,Media,Comercio,59877.27011870792,5158.682909523678,1
19.0,16.0,1.0,0.0,0,1,Alta,Tecnologia,44710.65884759485,2740.3417933433916,0
17.0,2.0,0.0,1.0,1,1,Media,Comercio,30949.88667704027,1675.6309453276767,0
6.0,19.0,1.0,0.0,1,0,Media,Comercio,28163.690525962324,5090.975729690471,0
